id,Gender,Age,Class,Flight Distance,Food and drink,On-board service,Checkin service,Cleanliness,satisfaction
19556,Female,52,Eco,160,3,5,2,5,satisfied
90035,Female,36,Business,2863,5,4,3,5,satisfied
12360,Male,20,Eco,192,2,4,2,2,neutral or dissatisfied
77959,Male,44,Business,3377,3,1,3,4,satisfied
36875,,49,Eco,1182,4,2,4,4,satisfied
39177,Male,16,Eco,311,5,4,1,5,satisfied
79433,Female,77,Business,3987,3,5,4,3,satisfied
97286,Female,43,Business,2556,4,4,5,3,satisfied
27508,Male,47,Eco,556,5,2,3,5,satisfied
62482,Female,46,Business,1744,3,4,5,4,satisfied
47583,Female,47,Eco,1235,5,3,1,4,satisfied
115550,Female,33,Business,325,1,2,3,4,neutral or dissatisfied
119987,Female,46,Business,1009,4,5,5,3,satisfied
42141,Female,60,Business,451,5,5,3,5,satisfied
2274,Female,52,Business,925,5,4,3,5,satisfied
22470,Male,50,Eco,83,2,4,4,2,neutral or dissatisfied
124915,Female,31,Eco,728,2,4,4,2,neutral or dissatisfied
17836,Male,52,Eco Plus,1075,4,3,4,4,satisfied
76872,Female,43,Eco,1927,4,5,4,3,neutral or dissatisfied
64287,Female,50,Business,3799,4,4,5,5,satisfied
63995,Male,60,Business,612,2,5,5,5,satisfied
75855,Male,43,Eco,1437,2,4,4,2,neutral or dissatisfied
106181,Male,55,Eco,302,4,1,4,4,neutral or dissatisfied
44304,Male,25,Business,1428,4,1,1,4,satisfied
82602,Female,30,Eco,528,2,3,4,2,neutral or dissatisfied
7823,Male,62,Eco,710,2,3,4,2,neutral or dissatisfied
127781,Male,24,,3680,2,5,5,2,satisfied
34501,Female,22,Eco,1521,4,1,1,4,satisfied
121658,Male,44,Business,1543,5,5,5,5,satisfied
20219,Male,51,Eco,235,4,3,3,4,neutral or dissatisfied
67551,Male,43,Business,1235,1,3,4,5,neutral or dissatisfied
48994,Female,56,Eco,308,5,2,2,2,satisfied
70811,Male,41,Eco,624,5,4,1,5,neutral or dissatisfied
75241,Male,22,Eco,1846,5,5,4,5,neutral or dissatisfied
12312,Female,53,Eco,192,3,5,2,4,satisfied
48372,Male,12,Eco,674,1,3,4,1,neutral or dissatisfied
51477,Female,39,Business,370,2,4,4,5,satisfied
84204,Female,55,Business,3169,3,5,3,5,satisfied
70990,,32,Business,802,2,4,3,2,neutral or dissatisfied
101991,Female,40,Eco,628,5,3,5,5,neutral or dissatisfied
87447,Female,42,Business,373,4,3,5,4,neutral or dissatisfied
16112,Male,24,Eco,725,2,4,1,2,satisfied
16172,Male,22,Business,277,3,5,3,3,neutral or dissatisfied
106558,Female,28,Business,1024,4,5,5,4,satisfied
11536,Female,36,Eco Plus,267,2,1,4,2,neutral or dissatisfied
47773,Female,62,Eco,550,4,5,5,2,satisfied
70521,Female,60,Business,1889,3,5,5,3,satisfied
96283,Female,59,Eco,460,3,5,1,2,neutral or dissatisfied
117993,Female,49,Business,3295,2,5,5,3,satisfied
74703,Female,44,Eco,1205,4,4,2,2,neutral or dissatisfied
110840,Female,58,Eco Plus,990,3,1,5,3,neutral or dissatisfied
88249,Male,24,Business,444,2,5,3,2,satisfied
125877,Female,53,Eco,520,3,4,3,3,satisfied
83968,Male,56,Eco,321,2,2,3,2,neutral or dissatisfied
122719,Female,30,Business,651,5,4,3,5,satisfied
3949,Male,27,Business,764,2,2,3,2,neutral or dissatisfied
45542,Male,27,Business,566,5,4,1,5,satisfied
43742,Female,67,Eco,626,2,3,3,5,neutral or dissatisfied
122093,Female,32,Eco,130,4,2,5,4,neutral or dissatisfied
121454,Male,36,Eco,331,1,4,1,1,neutral or dissatisfied
738,,44,Business,158,5,4,4,5,satisfied
75235,Female,70,Eco,1829,2,5,4,3,neutral or dissatisfied
88653,Female,55,Eco,646,4,5,4,3,neutral or dissatisfied
26594,Male,66,Eco,404,4,3,2,4,satisfied
38339,Female,19,Business,2738,3,5,1,3,satisfied
46063,Female,53,Eco Plus,964,4,4,5,4,neutral or dissatisfied
27957,Male,22,Business,1660,2,4,2,2,neutral or dissatisfied
17270,Female,69,Eco,872,4,5,3,3,neutral or dissatisfied
87976,Female,42,Business,1898,5,5,4,3,satisfied
31640,Female,41,Business,967,2,4,5,5,satisfied
41461,Female,53,Business,1242,3,1,4,4,neutral or dissatisfied
15143,Male,35,Business,1042,2,3,3,2,neutral or dissatisfied
78136,Female,54,Business,153,2,2,4,5,neutral or dissatisfied
120433,Male,44,Business,366,2,4,3,4,satisfied
41440,Female,26,Eco Plus,913,4,3,1,4,neutral or dissatisfied
15963,Female,44,Eco,528,2,5,3,3,neutral or dissatisfied
64303,Female,24,Eco,1172,5,4,4,5,neutral or dissatisfied
3608,Female,54,Eco,999,4,5,5,4,neutral or dissatisfied
7744,,42,Eco Plus,489,2,4,1,2,neutral or dissatisfied
21276,Male,36,Eco,692,1,1,1,1,neutral or dissatisfied
58576,Female,61,Business,1585,1,3,4,4,satisfied
53888,Female,50,Eco,140,4,2,3,5,neutral or dissatisfied
10980,Male,27,Business,2729,5,4,5,5,satisfied
54151,Male,55,Business,1400,4,3,1,4,neutral or dissatisfied
115641,Male,21,Eco,447,1,4,4,1,neutral or dissatisfied
58584,Female,31,Business,334,5,2,2,5,neutral or dissatisfied
50472,Female,37,Eco,158,1,1,4,1,neutral or dissatisfied
102623,Female,50,Business,3696,2,5,4,5,satisfied
31533,Female,21,Eco,846,3,5,4,3,neutral or dissatisfied
42287,Female,53,Eco,329,1,4,4,1,neutral or dissatisfied
70467,Male,45,Business,2580,3,5,3,4,satisfied
20461,Female,42,Eco,84,5,5,5,5,neutral or dissatisfied
113346,Male,59,Business,3358,3,4,4,3,satisfied
115566,Female,54,Eco,308,5,2,4,1,neutral or dissatisfied
119896,Female,46,Business,912,2,4,5,4,satisfied
88853,Female,52,Eco Plus,406,2,2,3,4,neutral or dissatisfied
24895,Female,38,Eco,397,5,5,5,5,neutral or dissatisfied
31122,Male,35,Business,2409,1,4,3,3,satisfied
91231,Female,41,Eco,545,4,1,1,4,neutral or dissatisfied
61426,Female,40,Business,2419,4,3,3,4,neutral or dissatisfied
68873,Female,36,Eco,1061,4,1,4,4,neutral or dissatisfied
125701,Male,67,Eco,899,2,5,5,2,neutral or dissatisfied
94999,Female,38,Eco,293,5,2,4,5,satisfied
56694,Female,50,Eco,1085,5,5,3,4,neutral or dissatisfied
62010,Male,50,Business,2475,2,2,3,5,satisfied
95868,Male,54,Business,2544,5,3,4,5,satisfied
123064,Male,56,Business,2556,4,4,3,5,satisfied
103418,Male,38,Eco,237,2,3,4,2,neutral or dissatisfied
73456,Female,7,Eco,1120,2,4,5,2,neutral or dissatisfied
8851,Female,32,Business,2668,4,5,5,4,satisfied
64241,Male,45,Eco,1660,4,2,4,4,neutral or dissatisfied
81723,Male,25,,1310,3,1,1,3,neutral or dissatisfied
88237,Female,45,Business,2374,4,4,5,5,satisfied
50619,Male,34,Eco,209,1,1,2,1,neutral or dissatisfied
54444,Male,20,Eco Plus,305,1,3,4,1,neutral or dissatisfied
64765,Female,36,Eco,247,1,4,1,1,neutral or dissatisfied
15941,Male,36,Eco,338,2,3,1,2,neutral or dissatisfied
14965,Male,27,Business,3200,5,4,2,5,satisfied
36897,Male,40,Eco,1368,3,4,3,3,neutral or dissatisfied
127954,Male,31,Business,1999,5,4,3,5,satisfied
27872,Male,25,Eco Plus,680,1,3,5,1,satisfied
35854,Male,42,Business,537,1,5,4,3,satisfied
14527,Female,45,Eco,288,1,5,1,3,satisfied
47021,Male,59,Business,639,4,3,2,1,neutral or dissatisfied
11224,Male,34,Eco,201,2,5,3,2,neutral or dissatisfied
3921,Female,22,Eco,213,3,1,3,3,neutral or dissatisfied
69463,Male,21,Eco,1096,2,3,2,2,neutral or dissatisfied
47050,Male,26,Business,1680,3,1,2,3,neutral or dissatisfied
21970,Male,37,Business,2401,5,4,1,5,satisfied
30046,Male,38,Business,2746,2,4,1,5,satisfied
1256,Female,17,Eco,89,5,3,5,5,neutral or dissatisfied
73813,Male,15,Eco Plus,192,5,5,5,5,neutral or dissatisfied
110928,Female,53,Eco,404,4,5,1,2,neutral or dissatisfied
102981,Male,39,Business,546,2,3,3,2,neutral or dissatisfied
61571,Male,40,Business,2400,2,5,3,3,satisfied
3796,Female,28,Eco Plus,599,4,3,1,4,neutral or dissatisfied
73906,Female,27,Business,2342,2,4,3,2,neutral or dissatisfied
74090,Female,41,Business,3046,3,4,4,5,satisfied
76645,Female,7,Eco,516,5,5,5,5,neutral or dissatisfied
100462,Male,48,Business,759,2,4,4,2,neutral or dissatisfied
54164,Male,13,Eco,1400,2,4,3,2,neutral or dissatisfied
6147,Female,48,Business,491,4,4,3,5,satisfied
1262,Female,49,Eco,134,5,4,1,4,neutral or dissatisfied
20310,Male,26,Business,900,1,4,5,1,satisfied
46896,Male,22,Business,3648,3,2,5,3,satisfied
7237,Female,53,Business,3769,1,4,1,1,neutral or dissatisfied
44293,Female,43,Eco,563,3,4,5,5,satisfied
52496,Male,56,Business,3131,2,4,4,5,satisfied
68263,Female,69,Eco,631,3,5,1,1,neutral or dissatisfied
5289,Male,59,Eco,351,1,1,2,1,satisfied
109359,Female,56,Business,1189,5,2,4,3,satisfied
94988,Male,11,Eco,562,3,4,1,3,satisfied
53605,Female,25,Eco,1874,4,3,5,4,satisfied
11005,Female,29,Eco,158,2,1,2,2,satisfied
14794,Female,48,Eco,95,1,5,1,2,satisfied
49480,Female,42,Business,266,4,4,2,1,satisfied
